Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*;* La correspondencia de los códigos se encuentra descrito en la estructura del fichero.
2019S014263;04/03/2019;15:45;CALL. ALFONSO XII / CALL. MONTALBAN;-;RETIRO;Colisión lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07;
2019S014303;04/03/2019;12:45;PASEO. CASTELLANA;92;CHAMARTÍN;Colisión lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Mujer;01;
2019S014289;04/03/2019;11:35;RETIRO;-;RETIRO;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;05;
2019S014327;05/03/2019;16:15;CALL. TRESPADERNE / AVDA. SUR DEL AEROPUERTO DE BARAJAS;-;BARAJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07;
2019S014416;06/03/2019;17:00;CALL. ALBAIDA;76;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Mujer;06;
2019S015623;06/03/2019;9:30;PLAZA. CARDENAL CISNEROS / AVDA. COMPLUTENSE;-;VILLA DE VALLECAS;Caída;LLuvia intensa;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07;
2019S015708;08/03/2019;21:04;CALL. PRINCIPE CARLOS / CALL. MARIA TUDOR;-;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 10 A 14 AÑOS;Hombre;02;
2019S015708;08/03/2019;21:04;CALL. PRINCIPE CARLOS / CALL. MARIA TUDOR;-;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Pasajero;DE 10 A 14 AÑOS;Mujer;02;
2019S014722;08/03/2019;19:25;AVDA. PARTENON;2;BARAJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07;
2019S014661;08/03/2019;16:45;PASEO. CASTELLANA / CALL. RAIMUNDO FERNANDEZ VILLAVERDE;-;TETUÁN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;07;
2019S016583;09/03/2019;19:45;CALL. LOPEZ GRASS / AVDA. ALBUFERA;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;06;
2019S015339;10/03/2019;22:00;AVDA. PORTUGAL;1;LATINA;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;07;
2019S015263;10/03/2019;19:20;PASEO. ERMITA DEL SANTO / CALL. VIA CARPETANA;-;LATINA;Colisión frontal;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;02;
2019S016088;10/03/2019;17:26;AVDA. INGENIERO EMILIO HERRERA;15;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Mujer;07;
2019S015228;10/03/2019;14:58;CALL. SANTA ADELA;14;HORTALEZA;Colisión frontal;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;03;
2019S015228;10/03/2019;14:58;CALL. SANTA ADELA;14;HORTALEZA;Colisión frontal;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;14;
2019S015475;11/03/2019;21:30;PLAZA. ESPAÑA / CALL. BAILEN;-;CENTRO;Alcance;;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;;
2019S015481;11/03/2019;21:00;CALL. ALCALDE SAINZ DE BARANDA / AUTOV. M-30;-;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;02;
2019S015537;11/03/2019;20:15;CALL. ALCOCER / AVDA. ANDALUCIA;-;VILLAVERDE;Otro;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;;
2019S017801;12/03/2019;10:00;CALL. REGUERA DE TOMATEROS;39;PUENTE DE VALLECAS;Caída;Despejado;Bicicleta;Conductor;DE 70 A 74 AÑOS;Hombre;06;
2019S015559;12/03/2019;9:10;CALLE JORGE MANRIQUE - CALLE SERRANO;-;CHAMARTÍN;Alcance;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;01;
2019S016418;13/03/2019;19:00;CALL. DOLORES BARRANCO / CALL. NICOLAS SANCHEZ;-;USERA;Otro;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;07;
2019S016649;14/03/2019;11:55;AVDA. VICTORIA;11;MONCLOA-ARAVACA;Colisión fronto-lateral;;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;;
2019S016157;15/03/2019;22:00;CALL. BRAVO MURILLO;305;TETUÁN;Colisión lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;02;
2019S016203;15/03/2019;19:45;AVDA. CIUDAD DE BARCELONA / CALL. SECO;-;RETIRO;Caída;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;02;
2019S016220;16/03/2019;18:35;CALL. O'DONNELL;52;RETIRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;14;
2019S016338;16/03/2019;17:30;CALL. ALMAGRO;25;CHAMBERÍ;Alcance;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07;
2019S016463;16/03/2019;12:30;AVDA. NICETO ALCALA ZAMORA / CALL. JULIO CASARES;-;HORTALEZA;Alcance;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;06;
2019S017986;16/03/2019;1:20;CALL. LUIS DE GONGORA / CALL. GRAVINA;-;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;07;
2019S016402;17/03/2019;20:40;PASEO. LA HABANA;39;CHAMARTÍN;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;06;
2019S018901;17/03/2019;12:00;AVDA. MANZANARES;196;USERA;Atropello a persona;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;07;
2019S018901;17/03/2019;12:00;AVDA. MANZANARES;196;USERA;Atropello a persona;Despejado;Bicicleta;Peatón;DE 6 A 9 AÑOS;Hombre;07;
2019S017808;17/03/2019;11:50;PQUE. MADRID RIO, +00700E;-;USERA;Atropello a persona;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;07;
2019S017808;17/03/2019;11:50;PQUE. MADRID RIO, +00700E;-;USERA;Atropello a persona;Despejado;Bicicleta;Peatón;DE 6 A 9 AÑOS;Hombre;07;
2019S016322;17/03/2019;10:05;CALL. SUECIA / AVDA. CANILLEJAS A VICALVARO;-;SAN BLAS-CANILLEJAS;Caída;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;07;
2019S016482;18/03/2019;14:25;CALL. SAN BERNARDO;43;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;07;
2019S016359;18/03/2019;0:00;CUSTA. SAN VICENTE / CALL. BAILEN;-;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;03;
2019S017168;19/03/2019;8:15;PLAZA. LEALTAD / PASEO. PRADO;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;07;
2019S016675;20/03/2019;18:15;CALL. SANTA CRUZ DE RETAMAR / AVDA. MIGUEL HERNANDEZ;-;PUENTE DE VALLECAS;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;07;
2019S017217;20/03/2019;16:30;CALLE ALACALA - PASEO DEL PRADO;-;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Mujer;07;
2019S016679;20/03/2019;15:32;AVDA. ENSANCHE DE VALLECAS / AVDA. LA GAVIA;-;VILLA DE VALLECAS;Otro;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;07;
2019S016549;20/03/2019;10:30;PASEO. ERMITA DEL SANTO / GTA. PUENTE DE SEGOVIA;-;CHAMARTÍN;Atropello a persona;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;14;
2019S016549;20/03/2019;10:30;PASEO. ERMITA DEL SANTO / GTA. PUENTE DE SEGOVIA;-;CHAMARTÍN;Atropello a persona;Despejado;Bicicleta;Peatón;MAYOR DE 74 AÑOS;Mujer;07;
2019S017107;22/03/2019;16:30;CALL. JOSE SILVA;2;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;14;
2019S016753;22/03/2019;14:20;CALL. HULLA / AVDA. LOS ROSALES;-;VILLAVERDE;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;03;
2019S016752;22/03/2019;14:15;CALL. ATOCHA;109;CENTRO;Atropello a persona;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;14;
2019S016752;22/03/2019;14:15;CALL. ATOCHA;109;CENTRO;Atropello a persona;Despejado;Bicicleta;Peatón;DE 65 A 69 AÑOS;Mujer;02;
2019S016975;22/03/2019;14:10;PASEO. LA HABANA / CALL. SANTIAGO BERNABEU;-;CHAMARTÍN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;07;
2019S016943;23/03/2019;12:00;GTA. MARQUES DE VADILLO / PNTE. TOLEDO;-;CARABANCHEL;Caída;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;06;
2019S017125;24/03/2019;21:45;CALL. HORTALEZA;100;CENTRO;Alcance;;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;;
2019S017125;24/03/2019;21:45;CALL. HORTALEZA;100;CENTRO;Alcance;;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;;
2019S017287;24/03/2019;12:30;CALL. RETAMA / CALL. ACANTO;-;ARGANZUELA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;07;
2019S016996;24/03/2019;2:00;CALL. BRAVO MURILLO;120;TETUÁN;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;14;
2019S017942;25/03/2019;22:45;CALL. HORTALEZA;18;CENTRO;Atropello a persona;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;02;
2019S017942;25/03/2019;22:45;CALL. HORTALEZA;18;CENTRO;Atropello a persona;Despejado;Bicicleta;Peatón;DE 40 A 44 AÑOS;Mujer;02;
2019S017198;25/03/2019;12:00;CALL. PORTOMARIN;11;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;05;
2019S017304;26/03/2019;19:10;CALL. JOAQUIN COSTA, FRENTE Nº 6;-;CHAMARTÍN;Otro;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;07;
2019S017391;26/03/2019;18:55;CALL. MANCHA;4;PUENTE DE VALLECAS;Colisión lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;07;
2019S017272;26/03/2019;13:20;PLAZA. CIBELES / CALL. ALCALA;-;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07;
2019S017367;27/03/2019;22:25;PLAZA. EMPERADOR CARLOS V / CALL. SANTA ISABEL;-;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;01;
2019S017434;27/03/2019;13:10;CALL. ARROYO FONTARRON;483;MORATALAZ;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07;
2019S017393;28/03/2019;14:45;AVDA. GRAN VIA DE SAN FRANCISCO;4;CENTRO;Alcance;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;07;
2019S017448;28/03/2019;10:55;CALL. FERNANDEZ DE LOS RIOS;33;CHAMBERÍ;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;07;
2019S017589;29/03/2019;20:50;AVDA. RAFAELA YBARRA;73;USERA;Colisión lateral;;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;;
2019S017586;29/03/2019;17:50;AVDA. MIRAFLORES;48;MONCLOA-ARAVACA;Alcance;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;02;
2019S017501;29/03/2019;17:15;CALL. ORENSE;15;TETUÁN;Colisión lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07;
2019S017608;30/03/2019;19:50;AVDA. SECUNDINO ZUAZO / CALL. CESAR CORT BOTI;-;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;03;
2019S017644;30/03/2019;13:35;CALL. JUAN DUQUE / CALL. MORENO NIETO;-;ARGANZUELA;Colisión lateral;Despejado;Bicicleta;Conductor;DE 70 A 74 AÑOS;Hombre;07;
2019S017566;30/03/2019;10:15;GTA. ERMITA DE LA VIRGEN DE LA SOLEDAD;0;BARAJAS;Alcance;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;02;
2019S018985;30/03/2019;9:20;AVDA. MIGUEL HERNANDEZ / CALL. LEON FELIPE;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;06;
2019S017718;31/03/2019;12:15;PASEO. CASTELLANA;16;SALAMANCA;Caída;Lluvia débil;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;07;
2019S018907;01/04/2019;22:44;PASEO. DELICIAS;32;ARGANZUELA;Alcance;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;;
2019S017848;01/04/2019;18:00;JUNTO A HUERTA DE LA PARTIDA;-;MONCLOA-ARAVACA;Colisión frontal;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;14;
2019S017836;01/04/2019;16:03;RONDA. TOLEDO;10;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;01;
2019S017764;01/04/2019;15:23;CALL. ALCALA;91;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07;
2019S017873;02/04/2019;13:50;AUTOV. M-607, +01500S;-;FUENCARRAL-EL PARDO;Colisión frontal;Nublado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;06;
2019S017873;02/04/2019;13:50;AUTOV. M-607, +01500S;-;FUENCARRAL-EL PARDO;Colisión frontal;Nublado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;06;
2019S018185;03/04/2019;16:44;IDB. PARQUE LINEAL DEL MANZANARES;0;PUENTE DE VALLECAS;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;02;
2019S017988;03/04/2019;14:40;AVDA. DOCTOR GARCIA TAPIA; 157A;MORATALAZ;Alcance;Despejado;Bicicleta;Conductor;DE 60 A 64 AÑOS;Hombre;;
2019S018020;04/04/2019;21:40;CALL. GRAN VIA / METRO. PLAZA DE ESPAÑA;-;CENTRO;Alcance;;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;;
2019S018298;05/04/2019;10:30;CALL. ARRIAGA / CALL. FERNANDO GABRIEL;-;CIUDAD LINEAL;Colisión lateral;Lluvia débil;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;02;
2019S018249;06/04/2019;21:25;CALL. MIGUEL ARREDONDO / CALL. ALONSO CARBONELL;-;ARGANZUELA;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;01;
2019S018366;06/04/2019;20:15;CALL. VICTORIA;4;CENTRO;Caída;Lluvia débil;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;02;
2019S018235;07/04/2019;9:48;CALL. HORTALEZA;17;CENTRO;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;07;
2019S018345;08/04/2019;15:15;CALL. DOBLA / AVDA. POBLADOS;-;CARABANCHEL;Colisión lateral;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;07;
2019S018545;08/04/2019;12:20;AVDA. MANZANARES;200;USERA;Atropello a persona;Nublado;Bicicleta;Conductor;DE 60 A 64 AÑOS;Hombre;07;
2019S018545;08/04/2019;12:20;AVDA. MANZANARES;200;USERA;Atropello a persona;Nublado;Bicicleta;Peatón;DE 0 A 5 AÑOS;Hombre;07;
2019S018498;08/04/2019;10:55;CALL. DOLORES BARRANCO / CALL. JUSTA GARCIA;-;USERA;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;DE 10 A 14 AÑOS;Hombre;07;
2019S018787;08/04/2019;8:55;CALL. EXPLANADA / CALL. PEDRO JUSTO DORADO DELLMANS;-;MONCLOA-ARAVACA;Alcance;Lluvia débil;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07;
2019S018461;09/04/2019;13:05;PASEO. RECOLETOS / CALL. GENOVA;-;CENTRO;Otro;Nublado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07;
2019S018517;10/04/2019;17:20;CALL. ALCALA;42;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Mujer;02;
2019S018494;10/04/2019;8:35;PASEO. FERNAN NUÑEZ;1;RETIRO;Atropello a persona;Despejado;Bicicleta;Conductor;DE 65 A 69 AÑOS;Hombre;14;
2019S018494;10/04/2019;8:35;PASEO. FERNAN NUÑEZ;1;RETIRO;Atropello a persona;Despejado;Bicicleta;Peatón;DE 70 A 74 AÑOS;Mujer;07;
2019S018483;10/04/2019;8:00;AVENIDA CANILLEJAS A VICÁLVARO CON GLORIETA M-40;-;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;06;
2019S018656;11/04/2019;16:00;CALL. LUCHANA;34;CHAMBERÍ;Caída;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;06;
2019S018552;11/04/2019;9:00;CALL. SAN GERMAN / CALL. POETA JOAN MARAGALL;-;TETUÁN;Colisión lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;01;
2019S019332;12/04/2019;18:30;PASEO. EXTREMADURA;153;LATINA;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;07;
2019S018655;12/04/2019;14:15;CALL. BARCO;32;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;02;
2019S018655;12/04/2019;14:15;CALL. BARCO;32;CENTRO;Caída;Despejado;Bicicleta;Peatón;DESCONOCIDA;Hombre;14;
2019S018648;12/04/2019;12:10;CALL. POETA JOAN MARAGALL / CALL. SOR ANGELA DE LA CRUZ;-;TETUÁN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07;
2019S018960;14/04/2019;16:45;CALL. MESON DE PAREDES / RONDA. VALENCIA;-;CENTRO;Alcance;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07;
2019S018950;16/04/2019;18:35;CALL. CLAUDIO MOYANO / PASEO. PRADO;-;RETIRO;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;02;
2019S018902;16/04/2019;8:30;CALL. SANTA ISABEL;50;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Mujer;05;
2019S019124;17/04/2019;19:00;CALL. DOCTOR TOLOSA LATOUR;21;USERA;Colisión lateral;Despejado;Bicicleta;Conductor;DE 65 A 69 AÑOS;Mujer;06;
2019S019254;20/04/2019;21:00;CALL. GILENA;14;VILLAVERDE;Caída;Lluvia débil;Bicicleta;Conductor;DE 18 A 20 AÑOS;Hombre;01;
2019S019257;20/04/2019;21:00;CALL. SANTA ENGRACIA;76;CHAMBERÍ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07;
2019S019263;21/04/2019;17:05;PQUE. JUAN CARLOS I;1;BARAJAS;Atropello a animal;Nublado;Bicicleta;Conductor;DE 60 A 64 AÑOS;Hombre;02;
2019S019405;22/04/2019;18:40;AVDA. LAS FUERZAS ARMADAS;118;HORTALEZA;Caída;Despejado;Bicicleta;Conductor;DE 10 A 14 AÑOS;Mujer;07;
2019S019391;23/04/2019;16:35;CUSTA. SANTO DOMINGO / CALL. FOMENTO;-;CENTRO;Caída;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;07;
2019S019554;24/04/2019;16:00;CALL. ARROYO BELINCOSO;24;MORATALAZ;Otro;LLuvia intensa;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;07;
2019S019536;24/04/2019;9:30;CALL. GOBELAS / CALL. GUECHO;-;MONCLOA-ARAVACA;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;02;
2019S019779;27/04/2019;20:15;MADRID;-;CENTRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07;
2019S019885;27/04/2019;13:40;AVDA. RAFAELA YBARRA;137;VILLAVERDE;Alcance;;Bicicleta;Conductor;DE 55 A 59 AÑOS;Hombre;14;
2019S020144;27/04/2019;12:55;AVDA. COMUNIDADES / AVDA. DEMOCRACIA;-;VICÁLVARO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;07;
